read_time,write_counts,period
1402878780000.0,7.0,600000.0
1402879440000.0,8.0,660000.0
1402880160000.0,7.0,720000.0
1402880940000.0,7.0,780000.0
1402881540000.0,10.0,600000.0
1402882260000.0,6.0,720000.0
1402883220000.0,9.0,960000.0
1402883880000.0,6.0,660000.0
1402884540000.0,4.0,660000.0
1402885200000.0,8.0,660000.0
1402886280000.0,3.0,1080000.0
1402887240000.0,5.0,960000.0
1402888140000.0,5.0,900000.0
1402888740000.0,5.0,600000.0
1402889700000.0,8.0,960000.0
1402891020000.0,10.0,1320000.0
1402891620000.0,8.0,600000.0
1402892760000.0,9.0,1140000.0
1402893840000.0,7.0,1080000.0
1402894500000.0,7.0,660000.0
1402895160000.0,6.0,660000.0
1402895760000.0,9.0,600000.0
1402896360000.0,9.0,600000.0
1402897020000.0,8.0,660000.0
1402897680000.0,6.0,660000.0
1402898280000.0,4.0,600000.0
1402898940000.0,7.0,660000.0
1402899720000.0,7.0,780000.0
1402900320000.0,7.0,600000.0
1402900980000.0,8.0,660000.0
1402901700000.0,6.0,720000.0
1402902360000.0,8.0,660000.0
1402903020000.0,9.0,660000.0
1402903620000.0,8.0,600000.0
1402904340000.0,9.0,720000.0
1402904940000.0,9.0,600000.0
1402905540000.0,8.0,600000.0
1402906140000.0,7.0,600000.0
1402906860000.0,8.0,720000.0
1402907640000.0,5.0,780000.0
1402908480000.0,8.0,840000.0
1402909320000.0,7.0,840000.0
1402910280000.0,10.0,960000.0
1402911540000.0,7.0,1260000.0
1402912980000.0,8.0,1440000.0
1402914540000.0,8.0,1560000.0
1402916520000.0,5.0,1980000.0
1402917600000.0,6.0,1080000.0
1402918980000.0,7.0,1380000.0
1402919760000.0,6.0,780000.0
1402920360000.0,8.0,600000.0
1402921020000.0,5.0,660000.0
1402921620000.0,9.0,600000.0
1402922220000.0,8.0,600000.0
1402922940000.0,8.0,720000.0
1402923660000.0,7.0,720000.0
1402924380000.0,7.0,720000.0
1402925100000.0,5.0,720000.0
1402925760000.0,8.0,660000.0
1402926360000.0,6.0,600000.0
1402927080000.0,9.0,720000.0
1402927680000.0,10.0,600000.0
1402928280000.0,8.0,600000.0
1402928880000.0,7.0,600000.0
1402929540000.0,7.0,660000.0
1402930260000.0,7.0,720000.0
1402930920000.0,5.0,660000.0
1402931640000.0,9.0,720000.0
1402932240000.0,3.0,600000.0
1402932900000.0,2.0,660000.0
1402933980000.0,8.0,1080000.0
1402934940000.0,6.0,960000.0
1402935780000.0,9.0,840000.0
1402936560000.0,6.0,780000.0
1402938360000.0,7.0,1800000.0
1402939560000.0,5.0,1200000.0
1402941240000.0,5.0,1680000.0
1402942740000.0,7.0,1500000.0
1402943460000.0,8.0,720000.0
1402944060000.0,7.0,600000.0
1402945080000.0,4.0,1020000.0
1402945680000.0,7.0,600000.0
1402946460000.0,7.0,780000.0
1402947060000.0,8.0,600000.0
1402947840000.0,9.0,780000.0
1402948440000.0,5.0,600000.0
1402949040000.0,9.0,600000.0
1402949880000.0,7.0,840000.0
1402950600000.0,5.0,720000.0
1402951560000.0,7.0,960000.0
1402952460000.0,6.0,900000.0
1402953240000.0,6.0,780000.0
1402953900000.0,1.0,660000.0
1402954860000.0,2.0,960000.0
1402955820000.0,7.0,960000.0
1402956960000.0,6.0,1140000.0
1402958100000.0,7.0,1140000.0
1402959300000.0,7.0,1200000.0
1402960560000.0,8.0,1260000.0
1402961400000.0,6.0,840000.0
1402962240000.0,5.0,840000.0
1402962900000.0,9.0,660000.0
1402963680000.0,8.0,780000.0
1402964520000.0,4.0,840000.0
1402965360000.0,8.0,840000.0
1402966320000.0,8.0,960000.0
1402967580000.0,6.0,1260000.0
1402968360000.0,9.0,780000.0
1402969140000.0,7.0,780000.0
1402970040000.0,7.0,900000.0
1402970880000.0,6.0,840000.0
1402972200000.0,8.0,1320000.0
1402973700000.0,10.0,1500000.0
1402975440000.0,7.0,1740000.0
1402978680000.0,6.0,3240000.0
1402980420000.0,5.0,1740000.0
1402981800000.0,7.0,1380000.0
1402983120000.0,6.0,1320000.0
1402984800000.0,9.0,1680000.0
1402986360000.0,6.0,1560000.0
1402988040000.0,7.0,1680000.0
1402989060000.0,5.0,1020000.0
1402993140000.0,9.0,4080000.0
1402994760000.0,7.0,1620000.0
1402995660000.0,5.0,900000.0
1402996500000.0,6.0,840000.0
1402998000000.0,6.0,1500000.0
1402998600000.0,8.0,600000.0
1402999440000.0,7.0,840000.0
1403000460000.0,7.0,1020000.0
1403001780000.0,8.0,1320000.0
1403002980000.0,7.0,1200000.0
1403005680000.0,7.0,2700000.0
1403007060000.0,7.0,1380000.0
1403008140000.0,5.0,1080000.0
1403009040000.0,5.0,900000.0
1403009640000.0,7.0,600000.0
1403010900000.0,8.0,1260000.0
1403011920000.0,7.0,1020000.0
1403012760000.0,7.0,840000.0
1403013780000.0,8.0,1020000.0
1403014920000.0,8.0,1140000.0
1403016180000.0,6.0,1260000.0
1403016900000.0,6.0,720000.0
1403017860000.0,7.0,960000.0
1403018760000.0,5.0,900000.0
1403019840000.0,5.0,1080000.0
1403020620000.0,5.0,780000.0
1403021340000.0,9.0,720000.0
1403022240000.0,6.0,900000.0
1403023080000.0,4.0,840000.0
1403024040000.0,6.0,960000.0
1403025660000.0,5.0,1620000.0
1403027040000.0,9.0,1380000.0
1403028960000.0,4.0,1920000.0
1403030220000.0,2.0,1260000.0
1403031540000.0,3.0,1320000.0
1403033160000.0,4.0,1620000.0
1403033760000.0,5.0,600000.0
1403034480000.0,4.0,720000.0
1403035380000.0,6.0,900000.0
1403035980000.0,10.0,600000.0
1403036580000.0,8.0,600000.0
1403037180000.0,8.0,600000.0
1403037780000.0,6.0,600000.0
1403038380000.0,7.0,600000.0
1403038980000.0,6.0,600000.0
1403039640000.0,5.0,660000.0
1403040360000.0,5.0,720000.0
1403040960000.0,3.0,600000.0
1403041560000.0,10.0,600000.0
1403042220000.0,8.0,660000.0
1403043000000.0,5.0,780000.0
1403044980000.0,6.0,1980000.0
1403045760000.0,4.0,780000.0
1403046660000.0,5.0,900000.0
1403047260000.0,7.0,600000.0
1403047980000.0,6.0,720000.0
1403048940000.0,6.0,960000.0
1403049840000.0,6.0,900000.0
1403050860000.0,5.0,1020000.0
1403051520000.0,8.0,660000.0
1403052240000.0,8.0,720000.0
1403052840000.0,7.0,600000.0
1403053740000.0,8.0,900000.0
1403054520000.0,8.0,780000.0
1403055180000.0,8.0,660000.0
1403056080000.0,6.0,900000.0
1403056800000.0,6.0,720000.0
1403057760000.0,10.0,960000.0
1403058600000.0,3.0,840000.0
1403059380000.0,5.0,780000.0
1403060520000.0,4.0,1140000.0
1403063040000.0,7.0,2520000.0
1403063880000.0,2.0,840000.0
1403065260000.0,6.0,1380000.0
1403066460000.0,5.0,1200000.0
1403067120000.0,9.0,660000.0
1403067720000.0,6.0,600000.0
1403068800000.0,6.0,1080000.0
1403070120000.0,7.0,1320000.0
1403071920000.0,9.0,1800000.0
1403072940000.0,6.0,1020000.0
1403074140000.0,9.0,1200000.0
1403075040000.0,9.0,900000.0
1403075700000.0,6.0,660000.0
1403076840000.0,8.0,1140000.0
1403077740000.0,4.0,900000.0
1403079180000.0,6.0,1440000.0
1403080560000.0,9.0,1380000.0
1403081340000.0,7.0,780000.0
1403082060000.0,7.0,720000.0
1403083020000.0,6.0,960000.0
1403084040000.0,6.0,1020000.0
1403085360000.0,6.0,1320000.0
1403087040000.0,6.0,1680000.0
1403088660000.0,5.0,1620000.0
1403089920000.0,6.0,1260000.0
1403090640000.0,7.0,720000.0
1403091960000.0,6.0,1320000.0
1403092680000.0,3.0,720000.0
1403093880000.0,7.0,1200000.0
1403095380000.0,6.0,1500000.0
1403096700000.0,5.0,1320000.0
1403097720000.0,3.0,1020000.0
1403100060000.0,6.0,2340000.0
1403101080000.0,3.0,1020000.0
1403102400000.0,8.0,1320000.0
1403103900000.0,8.0,1500000.0
1403105820000.0,4.0,1920000.0
1403107440000.0,4.0,1620000.0
1403108460000.0,8.0,1020000.0
1403109180000.0,8.0,720000.0
1403109960000.0,7.0,780000.0
1403110560000.0,6.0,600000.0
1403111280000.0,4.0,720000.0
1403112180000.0,7.0,900000.0
1403113140000.0,7.0,960000.0
1403114460000.0,5.0,1320000.0
1403115420000.0,6.0,960000.0
1403116260000.0,8.0,840000.0
1403117040000.0,7.0,780000.0
1403118060000.0,8.0,1020000.0
1403119620000.0,7.0,1560000.0
1403121420000.0,5.0,1800000.0
1403122440000.0,3.0,1020000.0
1403123460000.0,2.0,1020000.0
1403124900000.0,7.0,1440000.0
1403125560000.0,8.0,660000.0
1403130000000.0,8.0,4440000.0
1403132520000.0,4.0,2520000.0
1403133900000.0,5.0,1380000.0
